,disturbance_frequency,disturbance_mortality,optimal_spacing,mean_pop_size
1,0,0.95,11,0.088470704917646
2,0.06,0.95,15,0.0890907946251764
3,0.12,0.95,31,0.124351417953948
4,0.18,0.95,45,0.0979393679144855
5,0.24,0.95,37,0.0477974515795172
6,0.3,0.95,10,0.00164085023058087
7,0.36,0.95,11,0.000336908957026302
8,0,0.95,11,0.0876749168958324
9,0.06,0.95,19,0.109650803754615
10,0.12,0.95,33,0.130865439330725
11,0.18,0.95,45,0.0997807055317753
12,0.24,0.95,37,0.0477230822932498
13,0.3,0.95,32,0.0167014121605484
14,0.36,0.95,11,0.000434480698520086
15,0,0.95,11,0.0881424018568013
16,0.06,0.95,20,0.116194881426499
17,0.12,0.95,27,0.110701047492296
18,0.18,0.95,36,0.0893387862228266
19,0.24,0.95,37,0.0455569747129168
20,0.3,0.95,31,0.0196713784227666
21,0.36,0.95,11,0.000534947142951802
22,0,0.75,11,0.0883348437365943
23,0.06,0.75,11,0.0761728509823377
24,0.12,0.75,11,0.0642249283319847
25,0.18,0.75,14,0.0652270594023528
26,0.24,0.75,18,0.0661069379737859
27,0.3,0.75,26,0.0718530473384276
28,0.36,0.75,39,0.0579562668330048
29,0,0.75,11,0.0881961507968103
30,0.06,0.75,11,0.0763522127233211
31,0.12,0.75,11,0.0644736006787956
32,0.18,0.75,12,0.0554385072976141
33,0.24,0.75,20,0.0733223638189675
34,0.3,0.75,31,0.0773948354793599
35,0.36,0.75,33,0.0563249592156949
36,0,0.75,11,0.0880303102269424
37,0.06,0.75,11,0.0756531883546161
38,0.12,0.75,11,0.0642613526710968
39,0.18,0.75,13,0.0616855411490145
40,0.24,0.75,21,0.0761756724237205
41,0.3,0.75,32,0.0807092759009903
42,0.36,0.75,40,0.0560326243327438
43,0,0.5,11,0.0879044687460732
44,0.06,0.5,11,0.081925100805172
45,0.12,0.5,11,0.0762612278909226
46,0.18,0.5,11,0.0693770903743119
47,0.24,0.5,11,0.0634505481456032
48,0.3,0.5,11,0.0559742948686575
49,0.36,0.5,11,0.0491091802839579
50,0,0.5,11,0.088166341039559
51,0.06,0.5,11,0.0826147334146201
52,0.12,0.5,11,0.0753586925681892
53,0.18,0.5,11,0.0695380126797347
54,0.24,0.5,11,0.0631804067815617
55,0.3,0.5,11,0.0562812870979967
56,0.36,0.5,11,0.0483903800401842
57,0,0.5,11,0.0878673913664645
58,0.06,0.5,11,0.0822286260195174
59,0.12,0.5,11,0.0761650689443944
60,0.18,0.5,11,0.0697809482400336
61,0.24,0.5,11,0.0636169938360257
62,0.3,0.5,11,0.0566548823833804
63,0.36,0.5,11,0.0501847440696054
